company_industries,job_url,company_name,company_website,company_location,job_roles,keywords,posted_on,job_title
Education,https://wuzzuf.net/jobs/p/115035-Software-Developer-Nagwa-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=20,Nagwa,https://wuzzuf.net/jobs/careers/Nagwa-Egypt-4718,"Nasr City ,Cairo ,Egypt",IT/Software Development,"Web Development, Web Design, Information Technology (IT), Software Development, Software Engineering, MVC, C#, .NET, ASP.NET, DB, NoSQL, OOP, XML, XSL, SVG, Git, TFS, .NET Core, Node.js, Computer Science","Tuesday, February 20, 2018 at 9:52AM",Software Developer
Medical Devices and Supplies,https://wuzzuf.net/jobs/p/114043-Medical-Sales-Associate---Orthopaedics-Alexandria---Delta---Upper-Egypt-Ortho-House-for-Medical-Services-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=3,Ortho-House for Medical Services,https://wuzzuf.net/jobs/careers/Ortho-House-for-Medical-Services-Egypt-17147,",Cairo ,Egypt","Medical/Healthcare,Pharmaceutical,Sales/Retail","Sales, Sales Target, Medical, Vet, Pharmacy, Chemistry, Pharmaceutical, Science, Orthopedics, Selling Skills, Spine, Trauma, Medical Sales, Orthopaedics","Wednesday, February 14, 2018 at11:11AM",Medical Sales Associate - Orthopaedics (Alexandria / Delta / Upper Egypt)
FMCG,https://wuzzuf.net/jobs/p/115310-Sales-Supervisor---Upper-Egypt-Sohag-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=2,Confidential Company,,",Sohag ,Egypt",Sales/Retail,"Sales, FMCG, Sales Planning, Sales Strategies, Sales Management, Sales Skills, Sales Target, Customer Relationship, Wholesale","Wednesday, February 21, 2018 at12:25PM",Sales Supervisor - Upper Egypt
Computer Software,https://wuzzuf.net/jobs/p/114966-Junior-Software-Developer-Tech-Tree-Solutions-Giza-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=19,Tech Tree Solutions,https://wuzzuf.net/jobs/careers/Tech-Tree-Solutions-Egypt-31189,"Agouza ,Giza ,Egypt",IT/Software Development,".Net Framework, Microsoft SQL Server, javaScript, MVC, .Net, C#, SQL, Entity Framework, Computer Sciences, Information Technology (IT), Computer Science, Software Engineering, Web Development, Software Development","Tuesday, February 20, 2018 at12:11PM",Junior Software Developer
"Healthcare and Medical Services,Computer Software",https://wuzzuf.net/jobs/p/115416-Senior-Software-Developer---Alexandria-Millensys-Alexandria-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=17,Millensys,https://wuzzuf.net/jobs/careers/Millensys-Egypt-17673,",Alexandria ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, Microsoft SQL Server, C#, MVC, ASP.NET, Computer Science, Coding, Web Development, MySQL, .NET, jQuery, Bootstrap, Information Technology (IT), SQL, Front-End, MS SQL","Wednesday, February 21, 2018 at 3:59PM",Senior Software Developer - Alexandria
Computer Software,https://wuzzuf.net/jobs/p/113291-Software-Developer-Crystal-Mind-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=40,Crystal Mind,https://wuzzuf.net/jobs/careers/Crystal-Mind-Egypt-28651,"Nasr City ,Cairo ,Egypt",IT/Software Development,"Information Technology (IT), Software Development, Programming, Pascal, Delphi, R&D","Sunday, February 11, 2018 at11:39AM",Software Developer
"Entertainment,Media Production,Computer Software",https://wuzzuf.net/jobs/p/113488-Senior-Software-Developer-Mazzika-Group-Giza-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=37,Mazzika Group,https://wuzzuf.net/jobs/careers/Mazzika-Group-Egypt-20553,"Dokki ,Giza ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, Engineering, Computer Science, Computer Engineering, ASP.NET, C#, OOP, AJAX, HTML, JavaScript, XSLT, XML, Artificial Intelligence, .NET, CSS, Information Technology (IT)","Monday, February 12, 2018 at10:02AM",Senior Software Developer
Education,https://wuzzuf.net/jobs/p/115021-Software-Development-Team-Leader-Nagwa-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=21,Nagwa,https://wuzzuf.net/jobs/careers/Nagwa-Egypt-4718,"Nasr City ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Web Development, Microsoft SQL, .NET, ASP.NET, MVC, C#, OOP, Information Technology (IT), Computer Science, Design Patterns, ORM, Software Development, Software Engineering","Tuesday, February 20, 2018 at 9:00AM",Software Development Team Leader
"Information Technology Services,Internet/E-commerce,Computer Software",https://wuzzuf.net/jobs/p/112393-Software-Developer-ASP-net--Up-to-3-years-CompactSoft-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=36,CompactSoft,https://wuzzuf.net/jobs/careers/CompactSoft-Egypt-8824,",Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","C#, SQL, Microsoft SQL Server, SQL Server, jQuery, Software Development, MVC, Software Engineering, Computer Engineering, T-SQL, Bootstrap, Computer Science, javaScript, ASP.NET","Monday, February 12, 2018 at 3:37PM","Software Developer (ASP.net , Up to 3 years)"
Consumer Electronics,https://wuzzuf.net/jobs/p/115148-Software-Developer-Giza-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=18,Confidential Company,,"6th of October ,Giza ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, Information Technology (IT), Computer Science, Engineering, MS SQL Server, C#, javaScript, HTML5, jQuery, .NET","Tuesday, February 20, 2018 at 2:52PM",Software Developer
"Banking,FMCG,Computer Software",https://wuzzuf.net/event/107281-Egypt-Career-Summit-2018-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=4,Egypt Career Summit,https://wuzzuf.net/jobs/careers/Egypt-Career-Summit-Egypt-29830,",Cairo ,Egypt","Accounting/Finance,Engineering - Telecom/Technology,Marketing/PR/Advertising ",,"Tuesday, January  2, 2018 at12:44PM",Egypt Career Summit 2018
"Healthcare and Medical Services,Computer Software",https://wuzzuf.net/jobs/p/115417-Junior-Software-Developer---Alexandria-Millensys-Alexandria-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=16,Millensys,https://wuzzuf.net/jobs/careers/Millensys-Egypt-17673,",Alexandria ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, ERP, AJAX, Javascript, jQuery, ASP.net, MVC, C#, XML, Database, javaScript, JSON, SQL, Database Design, Software Testing, Information Technology (IT), Computer Science, Software Engineering, Computer Engineering","Wednesday, February 21, 2018 at 3:59PM",Junior Software Developer - Alexandria
